doc_id	Relation_Type	Identifier_1	Identifier_2	Novelty
15939762	Positive_Correlation	C032881	55750	Novel
15939762	Association	D011471	1956	No
15939762	Association	D011471	55750	Novel
15939762	Positive_Correlation	55750	5595	Novel
18557893	Association	D007410	13712	Novel
18557893	Positive_Correlation	13712	14281	Novel
18557893	Bind	20807	14281	Novel
18557893	Association	D006984	13712	Novel
18557893	Positive_Correlation	20807	14281	Novel
18557893	Association	D007410	214384	Novel
18557893	Association	D007410	20807	Novel
18557893	Association	D006984	20807	Novel
18557893	Association	D007410	14281	Novel
18557893	Negative_Correlation	C113580	14281	Novel
18557893	Negative_Correlation	C113580	13712	No
18803911	Association	D008694	D004298	No
18803911	Negative_Correlation	D004298	D008694	Novel
18803911	Negative_Correlation	D008694	D004298	No
18803911	Negative_Correlation	D009538	D009293	No
18803911	Drug_Interaction	D008694	D004298	No
19016528	Association	3587	3586	Novel
19016528	Association	2828273	6774	Novel
19016528	Bind	3586	3588	No
19016528	Bind	2828273	3586	No
19016528	Association	3587	6774	Novel
19016528	Association	2828273	3587	Novel
19016528	Positive_Correlation	2828273	9021	No
19016528	Negative_Correlation	3587	9021	Novel
19070599	Negative_Correlation	1385	55869	Novel
19070599	Bind	5540	3065	No
19070599	Association	D005576	55869	Novel
19070599	Bind	55869	5540	Novel
19070599	Association	1385	814	No
19070599	Association	D005576	1385	No
19300498	Association	D002396	621324	No
19300498	Negative_Correlation	D002784	621324	Novel
19503779	Positive_Correlation	D007980	D006212	No
19503779	Positive_Correlation	D007980	D004409	No
19503779	Cotreatment	C046649	D007980	No
19503779	Positive_Correlation	C046649	D007024	Novel
19503779	Negative_Correlation	C046649	D010300	Novel
19503779	Negative_Correlation	D007980	D010300	No
19503779	Association	D007980	D004298	Novel
19539971	Association	D014777	5594	Novel
19539971	Association	4790	5594	No
19539971	Bind	4790	4790	No
19620631	Association	201254	80152	Novel
19620631	Association	378708	80152	Novel
19620631	Association	201254	64105	Novel
19673742	Association	D008595	217	Novel
19673742	Negative_Correlation	C013908	D008595	No
19673742	Negative_Correlation	C550386	D004298	Novel
19673742	Association	D000438	D000437	No
19673742	Negative_Correlation	D000438	C550386	Novel
19673742	Association	D004298	D000437	No
19673742	Association	D000437	217	No
19673742	Negative_Correlation	C013908	217	No
19673742	Positive_Correlation	D000438	D000079	No
19673742	Negative_Correlation	C550386	217	No
19673742	Positive_Correlation	D000438	D004298	Novel
19673742	Negative_Correlation	C550386	D008595	Novel
19673742	Positive_Correlation	D000079	C550386	Novel
20454457	Association	D015179	2767	Novel
20454457	Association	D015179	6910	Novel
20454457	Association	D015179	1789	Novel
20454457	Association	D015179	9096	Novel
20454457	Association	D015179	857	Novel
20454457	Association	D015179	1630	Novel
20454457	Association	D009369	1029	Novel
20454457	Association	D015179	27185	Novel
20454457	Negative_Correlation	D009369	9096	Novel
20454457	Association	D009369	9096	Novel
20454457	Association	D015179	1029	Novel
20454457	Association	D015179	10481	Novel
20454457	Association	D015179	6585	Novel
20454457	Association	D009369	10481	Novel
20454457	Negative_Correlation	D009369	10481	Novel
20454457	Association	10481	1789	No
20454457	Association	D009369	1789	Novel
20454457	Negative_Correlation	D015179	10481	Novel
20497133	Positive_Correlation	D000438	D000699	Novel
20497133	Association	D000431	D000437	Novel
20497133	Association	D000438	D000437	Novel
20497133	Positive_Correlation	D000438	D000431	No
20497133	Positive_Correlation	D000431	D000699	Novel
20632968	Negative_Correlation	D007980	D010300	No
20632968	Positive_Correlation	D007980	D004409	No
20632968	Positive_Correlation	D007980	D004409	No
20632968	Positive_Correlation	D007980	D010300	No
21315725	Positive_Correlation	D003681	36236	Novel
21478879	Negative_Correlation	16396	18128	Novel
21610359	Association	D002056	16171	Novel
21610359	Association	D002056	15978	Novel
21610359	Association	D002056	12504	Novel
21610359	Association	12504	15978	No
21610359	Positive_Correlation	D002056	12504	Novel
21610359	Positive_Correlation	D002056	16171	Novel
21624954	Association	80333	351	Novel
21624954	Association	3552	D000544	No
21624954	Association	3552	80333	Novel
21706052	Association	D007249	7124	No
21706052	Association	D007249	4790	Novel
21706052	Bind	4790	4790	No
21706052	Association	4790	D009369	Novel
21706052	Negative_Correlation	C531549	4790	Novel
21706052	Association	D009369	4790	No
21706052	Association	4790	D009369	No
21706052	Negative_Correlation	C531549	5970	Novel
21706052	Bind	5970	4790	No
21706052	Negative_Correlation	C531549	142	No
21706052	Association	D007249	7124	Novel
21706052	Association	7124	D009369	Novel
21706052	Positive_Correlation	5970	7124	Novel
21706052	Positive_Correlation	4790	7124	Novel
21706052	Positive_Correlation	4790	5970	Novel
21706052	Association	4790	142	Novel
21706052	Association	142	5970	Novel
21706052	Association	142	7124	Novel
21746848	Bind	D005998	2902	No
21746848	Bind	D018698	2902	No
21845002	Negative_Correlation	C017461	12359	Novel
21845002	Positive_Correlation	C017461	D007674	No
21845002	Positive_Correlation	C017461	D064420	No
21845002	Positive_Correlation	C017461	D020274	No
21845002	Negative_Correlation	C017461	D005978	Novel
22024753	Association	D014777	67526	Novel
22024753	Association	D014777	66734	Novel
22024753	Association	67841	66734	No
22024753	Association	D014777	67841	Novel
22024753	Association	67526	66734	No
22102388	Negative_Correlation	D000450	D013148	No
22102388	Negative_Correlation	D013148	4306	No
22102388	Association	D000450	D006528	No
22103986	Association	D007249	3569	Novel
22103986	Association	D007249	3569	Novel
22103986	Positive_Correlation	D002056	3569	Novel
22103986	Positive_Correlation	D002056	3576	Novel
22103986	Association	D007249	3576	Novel
22103986	Association	3576	D007249	No
22103986	Association	D007249	3569	No
22271291	Association	2100	2796	Novel
22511958	Negative_Correlation	D044243	D063646	Novel
22511958	Association	D007249	21926	No
22511958	Negative_Correlation	D044243	D007249	Novel
22511958	Negative_Correlation	D044243	17709	Novel
22511958	Negative_Correlation	D044243	D011230	No
22511958	Association	D009369	16171	Novel
22585545	Positive_Correlation	14419	18125	Novel
22596163	Negative_Correlation	C472367	4987	Novel
22835905	Association	16596	14460	Novel
22835905	Association	16596	328572	Novel
22835905	Association	D000740	16596	No
22835905	Association	16596	21349	Novel
22876817	Association	673	D009369	No
22876817	Association	5594	D009369	No
22876817	Association	D008545	4893	No
22876817	Association	D008545	22882	No
22876817	Association	D008545	3815	No
22876817	Association	D008545	5594	No
22876817	Association	D008545	5609	No
22876817	Association	D008545	1493	No
22876817	Association	D008545	673	No
22876817	Association	D009369	5594	Novel
22878224	Association	D000438	29336	No
22878224	Positive_Correlation	D000438	D000431	No
22878224	Negative_Correlation	C097963	29336	No
22878224	Association	D000431	29336	Novel
22878224	Negative_Correlation	D000431	C097963	Novel
22964890	Association	12416	20613	Novel
22969274	Association	4790	595	No
22969274	Association	4790	D009369	No
22969274	Association	4790	D009369	Novel
22969274	Association	4790	142	Novel
22969274	Association	4790	836	Novel
22969274	Association	D009369	7015	No
22969274	Bind	4790	4790	No
22969274	Association	4790	596	No
22975805	Association	D009369	1499	No
22975805	Association	D009369	4893	No
22975805	Association	D000077192	3845	Novel
22975805	Association	D000077192	5156	Novel
22975805	Association	D000077192	6597	Novel
22975805	Association	D000077192	22853	Novel
22975805	Association	D000077192	5290	Novel
22975805	Association	D000077192	558	Novel
22975805	Association	D009369	3845	No
22975805	Association	D000077192	4893	Novel
22975805	Association	D009369	79811	No
22975805	Association	D000077192	2263	Novel
22975805	Association	D000077192	673	Novel
22975805	Association	D000077192	4853	No
22975805	Association	D000077192	6098	Novel
22975805	Association	D008207	7157	Novel
22975805	Association	D000077192	79811	Novel
22975805	Association	D009369	1956	No
22975805	Association	D000077192	1499	Novel
22975805	Association	D000077192	238	Novel
22975805	Association	3845	D009369	No
22975805	Association	1956	D008175	No
22975805	Association	D009369	238	No
22975805	Association	1499	D009369	No
22975805	Association	1956	D009369	No
22975805	Association	673	D009369	No
22975805	Association	D000077192	8289	Novel
22975805	Association	D009369	673	No
22975805	Association	D000077192	1956	Novel
22975805	Association	D009369	5290	No
22975805	Association	7157	D009369	No
23056579	Association	D000690	2521	Novel
23056579	Bind	2521	7214	No
23056579	Association	C531617	2521	No
23080539	Association	D004318	7015	Novel
23087686	Negative_Correlation	D006025	D009844	Novel
23087686	Negative_Correlation	D006493	D007249	No
23092438	Positive_Correlation	D002118	193740	No
23092438	Positive_Correlation	D002118	D019042	No
23092438	Positive_Correlation	D002118	D006984	No
23092438	Positive_Correlation	D002118	D009135	No
23092438	Positive_Correlation	D002118	D005334	Novel
23105016	Association	D058499	755	Novel
23105016	Association	D058499	166647	Novel
23105016	Association	D058499	23065	Novel
23105016	Association	D058499	401124	Novel
23105016	Association	D058499	91452	Novel
23105016	Association	D058499	57670	Novel
23119238	Negative_Correlation	C060285	D006973	No
23270646	Negative_Correlation	D020927	D003693	Novel
23270646	Negative_Correlation	D006220	D003693	No
23374284	Negative_Correlation	D009369	407017	Novel
23374284	Negative_Correlation	D001943	407017	Novel
23374284	Association	D001943	5743	Novel
23451136	Positive_Correlation	495515	394377	No
23451136	Positive_Correlation	414664	394377	Novel
23451136	Positive_Correlation	495515	108705162	No
23451136	Positive_Correlation	414664	108705162	Novel
23451136	Association	D009369	414664	No
23451136	Bind	D012435	495515	Novel
23451136	Bind	D012435	414664	Novel
23451136	Positive_Correlation	495515	414664	Novel
23451136	Association	D009369	495515	No
23457445	Association	D011453	D002318	No
23457445	Association	5739	5174	No
23457445	Positive_Correlation	D011464	5739	No
23457445	Association	D011464	D002318	No
23457445	Bind	C041508	5174	No
23552949	Positive_Correlation	51548	7124	Novel
23552949	Negative_Correlation	D008239	51548	Novel
23552949	Negative_Correlation	51548	7124	Novel
23690630	Bind	851503	856847	Novel
23784316	Negative_Correlation	D008715	D006330	Novel
23784316	Negative_Correlation	D005492	D006330	Novel
23784316	Positive_Correlation	D010649	D006330	Novel
23784316	Negative_Correlation	D011392	D006330	Novel
23784316	Negative_Correlation	D014633	D006330	Novel
23788652	Association	D006528	3716	Novel
23788652	Association	1499	D006528	Novel
23788652	Association	D006528	7157	Novel
23788652	Association	D006528	1499	Novel
23788652	Association	1499	D009369	No
23788652	Association	7157	D009369	No
23788652	Association	D009369	7157	No
23788652	Negative_Correlation	D009369	7157	No
23801788	Association	D011691	855104	Novel
23801788	Association	D000255	855104	Novel
23801788	Association	855104	852686	Novel
23841825	Negative_Correlation	D065306	21898	Novel
23841825	Association	D065306	21898	Novel
23882114	Association	C038753	23405	Novel
23882114	Association	23405	7514	Novel
23934659	Negative_Correlation	D002945	D009369	No
23934659	Association	D003643	7157	Novel
23934659	Association	D063646	7157	No
23934659	Association	D003643	4193	Novel
23934659	Association	D003643	10454	Novel
23934659	Association	D063646	4193	No
23934659	Association	7157	1432	Novel
23934659	Association	D009369	10454	Novel
23934659	Association	7157	D010051	Novel
23934659	Association	7157	D009369	No
23934659	Positive_Correlation	1432	5366	Novel
23934659	Association	7157	4193	No
23934659	Positive_Correlation	10454	644914	Novel
23934659	Association	4193	644914	Novel
23934659	Association	7157	5366	Novel
23934659	Negative_Correlation	D009369	10454	Novel
23934659	Association	D003643	4194	Novel
23934659	Association	10454	4194	Novel
23934659	Association	D002945	4193	Novel
23934659	Positive_Correlation	D002945	D003643	No
23934659	Association	D002945	4194	Novel
23934659	Negative_Correlation	10454	4193	Novel
23934659	Association	10454	7157	Novel
23934659	Positive_Correlation	10454	1432	Novel
23934659	Positive_Correlation	10454	5366	Novel
23934659	Association	D002945	7157	Novel
23934659	Negative_Correlation	D002945	10454	Novel
24024562	Bind	C026600	28873	Novel
24050999	Association	D005586	p|SUB|A|27|L	Novel
24050999	Association	D005586	3707686	Novel
24050999	Association	D005586	1727	Novel
24062339	Positive_Correlation	29109	5879	Novel
24081981	Association	801	55107	Novel
24081981	Association	801	57101	Novel
24081981	Association	D002118	196527	No
24081981	Association	D002118	801	No
24105744	Association	D009461	23064	Novel
24105744	Association	C566550	23064	Novel
24105744	Association	23064	5393	Novel
24105744	Association	D019636	23064	Novel
24105744	Association	C537308	23064	No
24105744	Association	23064	164045	Novel
24105770	Association	D000077204	D005909	No
24105770	Association	D000077204	4292	Novel
24105770	Association	D000077204	9852	Novel
24105770	Association	D005909	9852	Novel
24105770	Association	D005909	4292	Novel
24105770	Association	4292	D009369	Novel
24112792	Positive_Correlation	D000068677	12064	Novel
24112792	Association	D003072	12064	No
24112792	Negative_Correlation	D000068677	12367	Novel
24112792	Association	11820	D008569	No
24112792	Negative_Correlation	D000068677	11820	Novel
24112792	Negative_Correlation	D000068677	C027078	Novel
24149843	Association	D009765	79068	No
24204982	Association	D008545	214230	No
24204982	Association	214230	11835	No
24204982	Negative_Correlation	D000077210	214230	Novel
24204982	Negative_Correlation	C550923	214230	Novel
24204982	Association	D000255	214230	Novel
24204982	Association	D008545	23969	Novel
24204982	Positive_Correlation	D008545	rs146905959	No
24223200	Association	D016393	5905	Novel
24223200	Association	D002051	5905	Novel
24223200	Association	D016403	5905	Novel
24223200	Association	D020522	5905	Novel
24223200	Negative_Correlation	C507134	D016403	Novel
24223200	Association	C507134	5905	Novel
24249225	Bind	2332	10209	Novel
24249225	Negative_Correlation	D005600	2332	No
24249225	Association	2332	D005600	No
24249225	Association	D005600	2332	No
24255102	Positive_Correlation	D016750	24241	No
24255102	Association	D007859	24241	Novel
24361692	Association	D009410	38218	Novel
24395249	Association	D009369	3845	No
24395249	Association	D010190	19211	No
24395249	Association	D010190	3845	No
24395249	Negative_Correlation	D009369	19211	No
24395249	Association	3845	D009369	No
24493647	Positive_Correlation	D012701	11652	Novel
24493647	Negative_Correlation	D005600	14265	No
24493647	Association	D012701	2890	Novel
24501251	Association	854213	854322	Novel
24581105	Association	6331	D001145	Novel
24581105	Association	D053840	6331	Novel
24581105	Positive_Correlation	D053840	p|SUB|D|785|N	Novel
24581105	Positive_Correlation	D053840	c|SUB|G|2353|A	Novel
24589777	Positive_Correlation	D006332	269951	Novel
24589777	Positive_Correlation	C019417	rs121913502	Novel
24589777	Association	D009369	15926	No
24589777	Association	D009202	269951	Novel
24589777	Association	D006332	rs121913502	Novel
24589777	Positive_Correlation	C019417	D019636	Novel
24589777	Association	D006332	269951	Novel
24589777	Positive_Correlation	D006849	269951	Novel
24589777	Association	D009369	269951	No
24589777	Positive_Correlation	C019417	D009202	Novel
24589777	Association	D019636	269951	Novel
24589777	Positive_Correlation	C019417	269951	Novel
24589777	Association	D010257	15926	Novel
24589777	Association	C535306	269951	Novel
24589777	Association	D006003	269951	Novel
24589777	Positive_Correlation	C019417	D010257	Novel
24589777	Association	C019417	15926	Novel
24589777	Positive_Correlation	D056784	269951	Novel
24592311	Association	D008107	D008055	Novel
24592311	Association	76282	D008107	Novel
24592311	Positive_Correlation	D004128	D064420	No
24592311	Positive_Correlation	D004128	D008103	No
24647661	Positive_Correlation	D000860	2056	Novel
24647661	Association	2056	83939	Novel
24647661	Association	D000860	83939	Novel
24667215	Positive_Correlation	D006160	9617	Novel
24681606	Negative_Correlation	D000068338	2475	No
24681606	Negative_Correlation	C506614	5609	No
24681606	Association	D018319	2475	No
24681606	Negative_Correlation	D000068338	D018319	Novel
24681606	Association	D005935	2475	No
24681606	Negative_Correlation	D000068338	D009369	No
24681606	Association	207	2475	No
24681606	Association	D005935	207	No
24681606	Association	D009369	207	Novel
24681606	Association	D018319	5609	Novel
24681606	Negative_Correlation	C506614	D009369	Novel
24681606	Negative_Correlation	D000068338	2475	No
24681606	Negative_Correlation	C506614	D018319	Novel
24722316	Positive_Correlation	D006862	4313	Novel
24722316	Association	D055371	4313	No
24722316	Association	81686	24413	Novel
24722316	Association	81687	24413	Novel
24722316	Positive_Correlation	D003907	24413	Novel
24722316	Negative_Correlation	D004318	81687	No
24722316	Association	4313	2908	Novel
24722316	Positive_Correlation	D006862	D004487	No
24722316	Negative_Correlation	D003907	D055371	Novel
24722316	Association	81687	2908	Novel
24722316	Association	D055371	24413	Novel
24722316	Negative_Correlation	D015735	2908	No
24722316	Negative_Correlation	D004318	4313	No
24722316	Association	81686	2908	Novel
24722316	Association	4318	2908	Novel
24722316	Positive_Correlation	D003907	2908	Novel
24722316	Negative_Correlation	D003907	D006862	Novel
24722316	Negative_Correlation	D003907	4313	Novel
24722316	Association	D055371	4318	Novel
24722316	Positive_Correlation	D006862	81686	Novel
24722316	Association	D055371	2908	Novel
24722316	Negative_Correlation	D003907	81686	Novel
24722316	Association	D055371	81686	Novel
24722316	Negative_Correlation	D015735	24413	No
24722316	Negative_Correlation	D004318	81686	No
24722316	Negative_Correlation	D003907	D015735	Novel
24722316	Negative_Correlation	D003907	81687	Novel
24722316	Association	D055371	81687	Novel
24722316	Positive_Correlation	D006862	4318	Novel
24722316	Negative_Correlation	D003907	D004487	Novel
24722316	Negative_Correlation	D003907	4318	Novel
24722316	Association	4313	24413	Novel
24722316	Positive_Correlation	D006862	81687	Novel
24722316	Negative_Correlation	D004318	4318	No
24722316	Association	4318	24413	Novel
24722316	Positive_Correlation	D006862	D055371	No
24768552	Association	D002658	9759	No
24768552	Association	D002658	2664	No
24768552	Association	D001321	2664	No
24768552	Association	D002658	1106	No
24768552	Association	D001321	9734	No
24768552	Association	D001321	9759	No
24768552	Association	D001321	1106	No
24788093	Association	D009369	1026	Novel
24788093	Negative_Correlation	26585	649	Novel
24788093	Negative_Correlation	26585	1026	Novel
24788093	Association	D009369	26585	Novel
24788093	Association	D005909	26585	Novel
24796485	Association	D009369	D005947	No
24796485	Association	7157	D009369	No
24796485	Association	D005947	D002292	Novel
24796485	Negative_Correlation	D005947	D002026	Novel
24796485	Association	D005947	D009369	No
24831701	Association	12325	12753	Novel
24831701	Association	12325	11865	Novel
24886488	Association	D007674	4306	No
24886488	Negative_Correlation	D013148	D051436	Novel
24919400	Positive_Correlation	853708	852985	Novel
24990963	Positive_Correlation	112398	595	No
24990963	Association	112398	8239	Novel
24990963	Association	2309	8239	Novel
25149293	Association	D009165	3458	No
25149293	Association	D009103	3458	Novel
25149293	Positive_Correlation	3458	7124	No
25149293	Association	3458	6772	No
25149293	Positive_Correlation	3458	3593	No
25166914	Association	D015179	81537	Novel
25166914	Association	D009369	81537	Novel
25166914	Association	D063646	4087	Novel
25166914	Association	D063646	81537	Novel
25166914	Association	D063646	407018	Novel
25166914	Association	D015179	6774	Novel
25166914	Association	D009369	4087	Novel
25166914	Negative_Correlation	D009369	407018	Novel
25166914	Positive_Correlation	407018	836	Novel
25166914	Association	4087	6774	Novel
25166914	Negative_Correlation	D015179	407018	Novel
25166914	Negative_Correlation	407018	4087	Novel
25166914	Association	D015179	4087	Novel
25166914	Association	D009369	6774	Novel
25166914	Association	81537	6774	Novel
25166914	Negative_Correlation	407018	81537	Novel
25166914	Negative_Correlation	407018	6774	Novel
25170028	Negative_Correlation	D003596	15201	Novel
25170028	Association	15201	16906	Novel
25186909	Association	672	D001943	No
25186909	Association	2064	672	Novel
25186909	Association	D001943	8767	Novel
25186909	Association	D001943	4609	Novel
25186909	Association	D009369	672	No
25192045	Association	D006330	77609	Novel
25192045	Association	D002925	115948	Novel
25192045	Association	D015154	77609	Novel
25192045	Association	D006330	555601	Novel
25192045	Association	C015126	115948	Novel
25192045	Association	D002278	555601	Novel
25192394	Positive_Correlation	51284	51311	Novel
25228643	Association	12753	406	No
25233904	Association	C536068	1200	Novel
25233904	Association	D009369	2120	No
25233904	Association	D019871	26277	No
25233904	Association	D019871	1200	Novel
25233904	Association	D009369	2120	Novel
25233904	Association	C536068	2120	Novel
25233904	Association	C536068	65057	Novel
25274725	Bind	4790	4790	No
25274725	Association	D007249	7124	Novel
25274725	Association	D007249	4790	Novel
25274725	Association	D007249	7124	Novel
25274725	Positive_Correlation	4790	7124	Novel
25274725	Association	7124	148022	Novel
25274725	Association	7124	4615	Novel
25274725	Positive_Correlation	7124	4790	Novel
25315009	Association	D007249	21926	No
25315009	Association	D007249	20296	Novel
25315009	Positive_Correlation	D009765	21926	Novel
25315009	Positive_Correlation	D009765	16193	Novel
25315009	Association	D007249	16193	No
25350003	Positive_Correlation	D011070	142980	No
25364498	Association	574032	5728	Novel
25364498	Association	D001943	5728	Novel
25364498	Positive_Correlation	D001943	574032	Novel
25364498	Negative_Correlation	D009369	5728	No
25364498	Negative_Correlation	574032	5728	Novel
25364498	Association	5728	D009369	No
25364498	Association	5728	D009369	Novel
25364498	Association	D001943	574032	Novel
25365720	Negative_Correlation	D006854	D018805	No
25365720	Positive_Correlation	D006854	D012772	Novel
25365720	Association	D006854	D018805	No
25365720	Association	D006854	D012772	Novel
25365720	Association	D006854	D000309	No
25365720	Association	D006854	D000306	Novel
25367036	Association	18015	26413	Novel
25367036	Negative_Correlation	D009369	18015	No
25367036	Negative_Correlation	D009369	26413	No
25367036	Association	D001321	18015	No
25367036	Association	D009461	18015	No
25367036	Association	D002526	26413	Novel
25367036	Association	D009369	26413	No
25367036	Association	C537761	18015	No
25367036	Association	D009456	18015	No
25369635	Association	D008239	22933	Novel
25369635	Association	D008239	23411	Novel
25369635	Association	D008239	23410	Novel
25373143	Positive_Correlation	p|SUB|A||I	176022	Novel
25512557	Association	D009369	672	No
25512557	Association	7158	55183	No
25512557	Association	22976	7158	No
25544758	Association	D018088	7942	Novel
25544758	Negative_Correlation	D000077210	7294	No
25544758	Positive_Correlation	D004317	7942	Novel
25544758	Negative_Correlation	D004317	D009369	No
25544758	Positive_Correlation	D008942	7942	Novel
25544758	Negative_Correlation	D000077210	D009369	No
25559384	Negative_Correlation	D009369	7421	Novel
25559384	Bind	7421	D014807	No
25559384	Association	1499	D009369	No
25559384	Negative_Correlation	D014807	D009369	No
25561867	Positive_Correlation	D001786	D014076	Novel
25561867	Positive_Correlation	D001786	D003920	Novel
25593306	Negative_Correlation	D009369	44786	Novel
25593307	Association	D002578	12387	Novel
25593307	Association	16653	D009369	No
25593307	Association	D002578	16653	No
25593307	Association	D021441	16653	No
25593307	Association	D002578	12505	Novel
25593307	Association	12505	12387	Novel
25593307	Association	D009369	16653	No
25640675	Association	D001327	7124	Novel
25640675	Association	7332	55072	No
25640675	Association	D001327	4790	Novel
25640675	Association	7332	4790	Novel
25640675	Association	D008180	7332	Novel
25640675	Bind	4790	4790	No
25640675	Association	7332	958	Novel
25640675	Association	7332	10616	No
25640675	Association	7332	7124	Novel
25640675	Association	4790	958	Novel
25640675	Association	4790	7124	Novel
25662174	Association	100033626	100033553	Novel
25691468	Association	D008223	15902	Novel
25691468	Association	D016399	15903	Novel
25691468	Association	D008223	15903	Novel
25691468	Association	D002051	15903	Novel
25691468	Association	D002051	15902	Novel
25691468	Positive_Correlation	15902	56458	Novel
25691468	Association	15251	15903	Novel
25691468	Association	D008223	12578	Novel
25691468	Association	282665	15251	Novel
25691468	Negative_Correlation	D016399	15903	Novel
25691468	Association	282665	12578	Novel
25691468	Association	282665	11651	Novel
25691468	Association	D003092	15903	Novel
25691468	Association	12578	15903	Novel
25691468	Association	12578	15902	Novel
25691468	Association	11651	15903	Novel
25691468	Positive_Correlation	15902	108655	Novel
25691468	Association	D030342	15902	Novel
25691468	Positive_Correlation	15903	56458	Novel
25691468	Positive_Correlation	15903	108655	Novel
25691468	Association	D030342	15903	Novel
25802548	Negative_Correlation	C030419	D007249	No
25802548	Negative_Correlation	C030419	D004487	No
25802548	Negative_Correlation	C030419	D002357	Novel
25802548	Positive_Correlation	C030419	C009195	Novel
25802548	Negative_Correlation	C030419	D001168	No
25863055	Bind	852977	856103	No
25877919	Positive_Correlation	17869	14534	Novel
25904138	Association	4904	23405	Novel
25904138	Association	D001943	4904	No
25904138	Association	D011471	4904	Novel
25904138	Association	D009369	1746	No
25904138	Association	D011471	23405	Novel
25904138	Association	D009369	3485	No
25934503	Association	D020176	14085	No
26048247	Negative_Correlation	D009841	74959	No
26077685	Association	2332	D001321	Novel
26077685	Association	D008607	57582	No
26077685	Association	2332	D008607	Novel
26077685	Association	D001321	2332	No
26077685	Association	2332	D005600	No
26077685	Association	D005600	2332	No
26092942	Bind	51690	23658	No
26092942	Bind	25804	850440	No
26092942	Bind	11157	23658	No
26092942	Bind	51690	57819	No
26092942	Bind	51690	27258	No
26092942	Bind	57819	10513	No
26092942	Bind	23658	10513	No
26092942	Bind	11157	27258	No
26092942	Bind	23658	850440	No
26092942	Bind	51690	10513	No
26092942	Bind	27258	23658	No
26092942	Bind	11157	25804	No
26092942	Bind	11157	10513	No
26092942	Bind	11157	850440	No
26092942	Bind	25804	10513	No
26092942	Bind	11157	57819	No
26092942	Bind	27257	10513	No
26092942	Bind	27258	57819	No
26092942	Bind	27257	850440	No
26092942	Bind	27258	10513	No
26092942	Bind	850440	10513	No
26092942	Bind	57819	850440	No
26092942	Bind	27258	850440	No
26092942	Bind	11157	51690	No
26092942	Bind	51690	25804	No
26092942	Bind	23658	57819	No
26092942	Bind	25804	57819	No
26092942	Bind	25804	27258	No
26092942	Bind	51690	850440	No
26092942	Bind	25804	23658	No
26106272	Positive_Correlation	D003924	D005947	Novel
26106272	Negative_Correlation	C541736	D003924	No
26106272	Association	D003924	D005947	No
26106272	Association	D005947	D003924	No
26115796	Negative_Correlation	D000074324	D011241	No
26115796	Negative_Correlation	C582435	D008545	Novel
26115796	Negative_Correlation	D017239	D008545	No
26115796	Association	D008545	5609	No
26115796	Negative_Correlation	D000074324	D008545	No
26115796	Comparison	C582435	D017239	No
26115796	Cotreatment	D017239	D016190	No
26115796	Association	D008545	673	No
26115796	Negative_Correlation	C582435	D000074324	Novel
26140448	Association	C563237	9351	Novel
26140448	Association	C563237	9368	Novel
26140448	Association	C563237	7430	Novel
